Commodity Key,HS Code,Description,Package Size (m^3),Package Weight (kg),Densities (kg/m^3)
2730,540262,Proin at turpis a pede posuere nonummy. Integer non velit.,0.707,90.51,128.026
2731,292425,Morbi ut odio.,1.389,1463.95,1053.962
2732,030571,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",3.671,3556.46,968.798
2733,030472,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",6.705,9899.89,1476.493
2734,520932,Proin interdum mauris non ligula pellentesque ultrices.,0.312,268.24,859.733
2735,293294,Phasellus sit amet erat.,0.850,421.94,496.400
2736,681591,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",2.741,1173.82,428.246
2737,521111,Curabitur convallis.,3.840,2120.73,552.273
2738,902610,Duis ac nibh.,0.955,1123.72,1176.668
2739,730830,Phasellus sit amet erat.,5.924,7715.44,1302.403
2740,292241,Morbi vel lectus in quam fringilla rhoncus.,1.342,1290.05,961.287
2741,460219,Ut at dolor quis odio consequat varius. Integer ac leo.,1.200,1055.05,879.205
2742,551599,Aenean auctor gravida sem.,2.542,2436.77,958.602
2743,843860,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,5.657,5334.91,943.063
2744,850421,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",0.656,196.71,299.867
2745,720711,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",1.162,761.16,655.045
2746,901811,In hac habitasse platea dictumst.,2.308,2533.73,1097.803
2747,060230,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",1.072,9.07,8.464
2748,110100,Vivamus vestibulum sagittis sapien.,3.053,2265.72,742.129
2749,282490,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",0.287,360.33,1255.516
2750,850980,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",1.059,531.71,502.089
2751,190219,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",2.769,3708.38,1339.250
2752,080440,Donec posuere metus vitae ipsum.,1.133,16.39,14.467
2753,871120,Mauris ullamcorper purus sit amet nulla.,0.434,305.74,704.475
2754,290721,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,1.769,1924.71,1088.020
2755,481014,Sed vel enim sit amet nunc viverra dapibus.,0.986,453.20,459.637
2756,890610,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",0.645,178.41,276.603
2757,871160,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",2.317,2271.03,980.161
2758,291990,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,3.834,379.55,98.995
2759,810110,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",0.385,244.95,636.228
2760,030552,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",1.928,1820.38,944.181
2761,294130,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,1.498,846.36,564.990
2762,940421,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",4.205,58.37,13.880
2763,840999,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",0.313,114.55,365.974
2764,071030,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,1.114,265.40,238.238
2765,410719,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",3.792,4698.59,1239.080
2766,860791,Morbi a ipsum. Integer a nibh.,3.216,317.00,98.571
2767,911440,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,0.698,974.68,1396.393
2768,720250,Suspendisse ornare consequat lectus.,0.217,268.57,1237.634
2769,392220,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,1.996,2059.55,1031.839
2770,480920,Nullam molestie nibh in lectus. Pellentesque at nulla.,2.080,1502.61,722.408
2771,230400,Sed accumsan felis. Ut at dolor quis odio consequat varius.,1.252,1323.01,1056.721
2772,380869,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2.526,1021.12,404.245
2773,820110,Integer ac leo. Pellentesque ultrices mattis odio.,1.264,83.05,65.702
2774,854810,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,1.289,1204.26,934.258
2775,280120,Sed vel enim sit amet nunc viverra dapibus.,6.094,4326.75,710.001
2776,080410,Quisque ut erat.,3.963,3248.45,819.694
2777,260120,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",1.352,845.76,625.565
2778,681510,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,1.053,535.01,508.078
2779,441113,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",0.786,439.61,559.303
2780,960610,Curabitur in libero ut massa volutpat convallis.,0.300,95.09,316.953
2781,510720,Maecenas tincidunt lacus at velit.,3.573,3559.69,996.275
2782,080241,Pellentesque eget nunc.,1.109,846.02,762.863
2783,390130,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",0.522,490.22,939.116
2784,741999,Nunc purus.,2.934,922.73,314.494
2785,846890,Proin risus.,0.157,197.16,1255.812
2786,520823,Suspendisse accumsan tortor quis turpis.,2.823,410.24,145.319
2787,293369,Suspendisse potenti. Nullam porttitor lacus at turpis.,1.070,880.85,823.226
2788,620630,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",5.884,5595.13,950.905
2789,730512,Etiam pretium iaculis justo. In hac habitasse platea dictumst.,1.570,1441.96,918.447
2790,540232,Aenean sit amet justo.,2.087,2142.14,1026.420
2791,091012,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,1.673,508.50,303.946
2792,670210,Nullam sit amet turpis elementum ligula vehicula consequat.,2.196,740.17,337.056
2793,848299,Integer non velit.,1.872,1859.03,993.072
2794,870431,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1.049,1200.68,1144.595
2795,550942,Suspendisse potenti. In eleifend quam a odio.,1.037,423.38,408.276
2796,920210,Vivamus in felis eu sapien cursus vestibulum.,0.764,73.67,96.428
2797,821110,Mauris sit amet eros.,3.264,3614.57,1107.406
2798,610441,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",2.960,318.05,107.450
2799,390761,Praesent blandit.,2.286,2407.50,1053.150
2800,610290,Quisque id justo sit amet sapien dignissim vestibulum.,5.509,500.98,90.938
2801,845012,Vivamus vestibulum sagittis sapien.,4.579,4596.71,1003.868
2802,681291,Duis bibendum. Morbi non quam nec dui luctus rutrum.,1.676,2146.52,1280.742
2803,540752,Phasellus in felis.,3.264,1270.33,389.195
2804,392099,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,1.345,800.41,595.103
2805,721810,Suspendisse potenti.,1.265,124.97,98.788
2806,610791,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",1.380,592.94,429.664
2807,842790,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",4.388,6612.05,1506.848
2808,960330,Integer ac neque. Duis bibendum.,0.351,262.54,747.979
2809,442090,Donec ut mauris eget massa tempor convallis.,4.406,4160.39,944.255
2810,401692,Integer ac neque. Duis bibendum.,1.445,898.21,621.598
2811,293110,Duis aliquam convallis nunc.,4.153,1412.38,340.086
2812,871610,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,2.274,2629.98,1156.542
2813,400811,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,2.080,2645.23,1271.744
2814,846610,Integer ac neque. Duis bibendum.,0.985,1102.17,1118.953
2815,831110,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,1.404,121.80,86.753
2816,701590,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",0.529,683.32,1291.718
2817,020751,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,2.319,1128.42,486.598
2818,871310,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,1.468,554.62,377.807
2819,293530,Suspendisse potenti. In eleifend quam a odio.,0.759,640.32,843.630
2820,810197,Duis ac nibh.,0.416,357.79,860.068
2821,070519,Donec semper sapien a libero.,1.807,390.45,216.077
2822,160561,Nunc rhoncus dui vel sem. Sed sagittis.,3.526,4200.03,1191.161
2823,283699,Integer ac leo. Pellentesque ultrices mattis odio.,1.060,1230.12,1160.494
2824,880320,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",0.478,315.69,660.445
2825,010391,Aenean sit amet justo.,0.278,146.02,525.245
2826,722691,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1.016,541.09,532.570
2827,970400,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",5.651,913.66,161.681
2828,321310,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,0.738,939.51,1273.043
2829,720690,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1.373,1034.47,753.439
2830,600390,Nam nulla.,2.580,3343.90,1296.084
2831,750511,Nunc nisl.,1.497,652.37,435.785
2832,230610,Aenean sit amet justo. Morbi ut odio.,0.430,300.12,697.943
2833,741910,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",0.479,712.90,1488.303
2834,030475,Integer tincidunt ante vel ipsum.,0.739,325.78,440.834
2835,910219,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",1.757,2051.22,1167.456
2836,152190,Nulla mollis molestie lorem. Quisque ut erat.,1.725,1706.41,989.222
2837,852799,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",0.889,538.02,605.196
2838,820770,Cras pellentesque volutpat dui.,2.767,2085.52,753.713
2839,730110,Nulla ut erat id mauris vulputate elementum.,0.360,303.85,844.014
2840,441210,Duis bibendum.,3.705,1052.28,284.017
2841,020743,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",4.000,2232.08,558.021
2842,071440,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",1.132,129.83,114.690
2843,760421,Praesent lectus.,0.404,396.55,981.558
2844,961220,Nulla nisl.,1.600,381.14,238.214
2845,581010,Etiam vel augue. Vestibulum rutrum rutrum neque.,1.382,1697.49,1228.283
2846,420219,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",0.892,545.13,611.133
2847,440210,Nunc rhoncus dui vel sem. Sed sagittis.,1.659,1976.60,1191.442
2848,640359,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",3.343,752.83,225.197
2849,381210,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",3.099,2063.89,665.986
2850,271129,Duis at velit eu est congue elementum.,0.811,443.55,546.916
2851,320910,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",2.352,1662.09,706.672
2852,820770,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",0.218,277.51,1272.960
2853,410640,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,1.622,2148.31,1324.484
2854,870360,Suspendisse accumsan tortor quis turpis. Sed ante.,4.459,3714.56,833.048
2855,732189,Etiam pretium iaculis justo.,3.269,3496.01,1069.443
2856,292090,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",1.735,132.26,76.229
2857,071490,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,0.404,536.97,1329.131
2858,030254,Curabitur gravida nisi at nibh.,1.639,786.17,479.667
2859,850440,Cras in purus eu magna vulputate luctus.,6.175,730.32,118.270
2860,030561,Pellentesque ultrices mattis odio. Donec vitae nisi.,1.224,261.04,213.268
2861,291431,Praesent blandit.,1.011,480.54,475.313
2862,621320,In congue. Etiam justo.,2.229,2334.47,1047.317
2863,520548,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",1.244,159.43,128.161
2864,630420,Morbi non lectus.,0.359,334.60,932.027
2865,291439,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,0.301,16.80,55.826
2866,810330,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,0.657,113.38,172.566
2867,820320,Aenean sit amet justo.,1.712,178.39,104.202
2868,030633,Maecenas ut massa quis augue luctus tincidunt.,0.692,607.12,877.340
2869,401700,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",0.975,237.97,244.067
2870,821220,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,1.140,1483.93,1301.690
2871,283311,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",1.068,930.89,871.624
2872,020430,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",0.469,351.62,749.733
2873,900653,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",3.166,3678.46,1161.863
2874,441112,Integer ac neque. Duis bibendum.,1.234,174.93,141.755
2875,293341,Nulla nisl.,0.686,507.90,740.378
2876,490110,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",1.856,2012.37,1084.250
2877,291711,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,0.957,75.43,78.817
2878,170219,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,1.026,1302.35,1269.346
2879,841919,Integer non velit.,2.883,1459.55,506.260
2880,732112,Duis ac nibh.,2.228,1498.98,672.793
2881,851920,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",0.069,81.16,1176.221
2882,901190,Aliquam quis turpis eget elit sodales scelerisque.,1.820,1184.41,650.776
2883,283421,Proin risus.,4.366,3832.43,877.790
2884,291620,Pellentesque viverra pede ac diam.,0.968,1079.38,1115.058
2885,450390,Etiam pretium iaculis justo. In hac habitasse platea dictumst.,2.123,1371.94,646.228
2886,481141,In sagittis dui vel nisl.,1.053,1576.23,1496.891
2887,721590,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",1.933,1451.35,750.827
2888,853080,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",0.178,28.95,162.661
2889,845090,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",1.673,1667.57,996.757
2890,902519,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,5.486,1732.58,315.818
2891,560221,Curabitur at ipsum ac tellus semper interdum.,1.188,845.07,711.342
2892,820140,Aliquam erat volutpat.,1.395,1597.83,1145.397
2893,961310,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,1.996,469.21,235.073
2894,846130,Nunc rhoncus dui vel sem. Sed sagittis.,1.093,396.27,362.553
2895,170260,Quisque porta volutpat erat.,0.613,161.10,262.800
2896,551449,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,0.624,98.51,157.876
2897,110430,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",2.639,3702.57,1403.020
2898,300692,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0.992,657.97,663.274
2899,282570,Nulla tempus.,0.632,505.10,799.209
2900,901090,Etiam faucibus cursus urna. Ut tellus.,1.451,1129.43,778.378
2901,200600,Proin eu mi.,0.759,542.90,715.288
2902,110813,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,3.143,2945.68,937.219
2903,340600,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",5.508,5858.68,1063.668
2904,401219,Nullam molestie nibh in lectus.,2.285,2931.97,1283.136
2905,230240,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1.634,1767.06,1081.435
2906,790120,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",1.485,1559.96,1050.480
2907,720229,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",2.191,2580.94,1177.972
2908,281640,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",0.294,244.70,832.310
2909,100821,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,0.325,103.50,318.463
2910,741011,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0.806,351.97,436.682
2911,540772,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,1.181,203.88,172.635
2912,851770,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,0.958,1009.10,1053.341
2913,903090,Aenean lectus. Pellentesque eget nunc.,2.493,165.72,66.474
2914,900653,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",0.714,455.79,638.364
2915,510810,Fusce consequat.,1.005,1251.09,1244.868
2916,551130,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,1.445,2048.37,1417.555
2917,284169,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",4.689,3161.89,674.320
2918,570292,Duis bibendum.,3.042,725.71,238.564
2919,680421,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",2.326,307.63,132.259
2920,611530,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,1.264,1169.82,925.489
2921,293329,Curabitur convallis.,2.775,4063.10,1464.181
2922,846719,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",0.953,246.40,258.550
2923,441193,Etiam faucibus cursus urna. Ut tellus.,2.752,2951.31,1072.424
2924,845921,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",1.219,1465.87,1202.522
2925,030446,Proin risus.,6.314,5070.73,803.093
2926,720529,Nullam varius.,3.871,5574.78,1440.139
2927,850239,Curabitur gravida nisi at nibh.,2.297,2198.10,956.945
2928,811020,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",1.823,1707.83,936.823
2929,870892,Duis bibendum. Morbi non quam nec dui luctus rutrum.,0.548,299.38,546.306
2930,901540,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",0.405,282.92,698.568
2931,611710,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,1.567,1940.56,1238.391
2932,441114,Aliquam non mauris.,0.768,104.78,136.437
2933,152200,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",3.018,2519.31,834.762
2934,551329,Donec posuere metus vitae ipsum.,1.752,85.08,48.561
2935,401694,Duis aliquam convallis nunc.,2.065,2844.47,1377.468
2936,251620,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0.566,356.60,630.029
2937,030486,Vestibulum ac est lacinia nisi venenatis tristique.,1.142,301.51,264.022
2938,820770,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",0.684,48.56,70.990
2939,280469,Nam nulla.,1.378,651.01,472.431
2940,570232,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",1.691,384.80,227.560
2941,071080,Pellentesque at nulla.,0.460,648.11,1408.939
2942,030314,Fusce consequat. Nulla nisl.,0.922,934.49,1013.545
2943,520851,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,1.489,1814.26,1218.445
2944,030229,Duis bibendum. Morbi non quam nec dui luctus rutrum.,1.010,288.56,285.705
2945,590700,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",1.441,146.96,101.987
2946,030359,Aenean lectus. Pellentesque eget nunc.,1.127,1442.00,1279.499
2947,120991,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",1.404,133.69,95.223
2948,701939,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,5.617,6480.89,1153.799
2949,846599,Vestibulum rutrum rutrum neque.,1.541,256.80,166.642
2950,721113,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",0.285,177.46,622.672
2951,610449,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,0.470,114.70,244.034
2952,680790,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",1.665,434.39,260.892
2953,200850,Vestibulum ac est lacinia nisi venenatis tristique.,2.581,1697.02,657.503
2954,890690,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,1.985,2040.42,1027.918
2955,920994,Aliquam erat volutpat. In congue.,0.375,197.23,525.934
2956,621132,Etiam faucibus cursus urna.,1.931,2379.76,1232.397
2957,600539,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",1.378,587.53,426.365
2958,720990,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,1.919,2296.65,1196.795
2959,292421,Nam nulla.,3.118,1849.79,593.261
2960,844339,Suspendisse accumsan tortor quis turpis.,0.270,160.24,593.475
2961,490210,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",3.166,1107.66,349.861
2962,291429,Sed vel enim sit amet nunc viverra dapibus.,1.109,1076.16,970.388
2963,284440,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",0.847,865.40,1021.726
2964,482210,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",0.638,326.27,511.392
2965,280300,Donec semper sapien a libero.,0.487,486.60,999.186
2966,550340,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",1.477,1632.91,1105.557
2967,442010,Vivamus vel nulla eget eros elementum pellentesque.,1.942,168.48,86.756
2968,844712,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",1.830,2620.62,1432.032
2969,291411,Praesent lectus.,1.847,1793.15,970.843
2970,821510,Curabitur at ipsum ac tellus semper interdum.,2.385,2300.80,964.694
2971,170260,Suspendisse potenti.,5.828,1354.27,232.373
2972,271112,Morbi a ipsum. Integer a nibh.,7.480,7483.09,1000.413
2973,380892,Donec dapibus.,3.028,1804.36,595.893
2974,841121,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",1.284,1097.77,854.958
2975,570320,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",3.080,2954.51,959.257
2976,020610,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,1.777,862.08,485.133
2977,551211,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",2.237,2475.82,1106.757
2978,911490,Sed accumsan felis.,1.729,430.60,249.045
2979,870130,Etiam vel augue. Vestibulum rutrum rutrum neque.,5.222,4212.37,806.658
2980,630493,Ut at dolor quis odio consequat varius.,1.343,350.00,260.609
2981,580122,Aliquam quis turpis eget elit sodales scelerisque.,0.879,791.06,899.960
2982,411310,Nunc rhoncus dui vel sem. Sed sagittis.,3.586,385.24,107.429
2983,842381,Praesent blandit lacinia erat.,3.753,4725.28,1259.068
2984,847529,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,1.490,1960.64,1315.868
2985,230310,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,0.956,531.71,556.187
2986,321290,Praesent lectus.,3.819,1298.35,339.970
2987,841940,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",0.898,835.05,929.903
2988,610839,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",0.893,876.79,981.852
2989,810420,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",1.884,2322.94,1232.981
2990,284030,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1.517,1043.68,687.991
2991,847971,Nulla tempus.,0.664,641.86,966.664
2992,071090,Morbi ut odio.,1.365,1349.28,988.484
2993,170390,Nullam molestie nibh in lectus. Pellentesque at nulla.,1.671,1124.66,673.045
2994,180631,Fusce posuere felis sed lacus.,2.851,709.72,248.937
2995,731420,Nunc rhoncus dui vel sem.,0.527,60.86,115.492
2996,441299,Morbi non quam nec dui luctus rutrum. Nulla tellus.,2.651,2438.78,919.947
2997,853331,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",0.186,8.73,46.929
2998,722012,Integer ac neque.,0.642,640.16,997.128
2999,970190,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,1.629,992.38,609.196
3000,691490,Duis consequat dui nec nisi volutpat eleifend.,0.477,474.59,994.948
3001,850740,Praesent blandit lacinia erat.,3.705,5540.88,1495.515
3002,848130,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",6.482,8651.66,1334.720
3003,391590,Suspendisse potenti.,0.578,81.37,140.784
3004,844315,Donec semper sapien a libero.,3.102,1983.68,639.485
3005,392061,Duis bibendum.,0.829,445.26,537.101
3006,420292,Nulla facilisi.,2.225,3617.61,1625.892
3007,293090,Etiam vel augue.,4.651,496.55,106.761
3008,840790,Vivamus in felis eu sapien cursus vestibulum.,1.462,1769.74,1210.492
