IMO number,Vessel Name,Ship type,Flag,Gross Tonnage,Summer Deadweight (t),Length Overall (m),Beam (m),Draught (m),Year of Built,TEU,Crude,Grain,Bale,AIS Type,Destination,ETA,IMO / MMSI,Callsign,Length / Beam,Current draught,Course / Speed,Coordinates,MMSI,Course,Speed,latitude,longitude,Length,Beam
9356311,CMA CGM MUSCA,Container Ship,Bahamas,128600,131830,347,45,None,2009,None,,,,Cargo ship,DOCAU>>SGSIN,"Jun 16, 22:00",9356311 / 311000922,C6EK7,348 / 46 m,11.3 m,104.0° / 11.5 kn,14.20568 N/60.9562 W,311000922,104.0°,11.5 kn,14.20568,-60.9562,348,46 m
9356294,CMA CGM THALASSA,Container Ship,Cyprus,128600,130700,347,45,None,2008,None,,,,Cargo ship,USLA]T,"May 8, 21:07",9356294 / 212151000,5BNE2,427 / 44 m,0.3 m,40.0° / 18.3 kn,34.38339 N/140.09058 E,212151000,40.0°,18.3 kn,34.38339,140.09058,427,44 m
9356309,CMA CGM HYDRA,Container Ship,Bahamas,128600,131831,347,45,None,2009,None,,,,Unknown (HAZ-A),KRPUS >> MXZLO,"May 10, 12:00",9356309 / 311000921,C6EK6,347 / 45 m,14.2 m,53.0° / 13.4 kn,36.07851 N/130.92217 E,311000921,53.0°,13.4 kn,36.07851,130.92217,347,45 m
9378474,CARNIVAL DREAM,Passenger (Cruise) Ship,Panama,128251,13815,305,270,None,2009,,,,,Passenger ship,LITTLE STIRUP CAY,"Apr 27, 11:00",9378474 / 370490000,3ETA7,308 / 38 m,8.4 m,301.0° / 0.0 kn,25.78479 N/78.44207 W,370490000,301.0°,0.0 kn,25.78479,-78.44207,308,38 m
9555723,CARNIVAL BREEZE,Passenger (Cruise) Ship,Panama,128052,10250,306,37,None,2012,,,,,Passenger ship,FREEPORT,"Apr 29, 17:00",9555723 / 354842000,3FZO8,305 / 48 m,8.5 m,316.0° / 0.1 kn,25.78577 N/78.4319 W,354842000,316.0°,0.1 kn,25.78577,-78.4319,305,48 m
9378486,CARNIVAL MAGIC,Passenger (Cruise) Ship,Panama,128048,13073,305,37,None,2011,,,,,Passenger ship,FREEPORT,"Apr 28, 13:00",9378486 / 370491000,3ETA 8,305 / 37 m,8.4 m,285.0° / 0.2 kn,25.78239 N/78.42431 W,370491000,285.0°,0.2 kn,25.78239,-78.42431,305,37 m
9666986,LNG FUKUROKUJU,LNG Tanker,Bahamas,127242,83809,293,49,None,2016,,,,,Tanker,CNSZX,"May 7, 16:01",9666986 / 311000365,C6BU3,293 / 49 m,11.6 m,288.8° / 14.7 kn,12.11976 S/130.2712 E,311000365,288.8°,14.7 kn,-12.11976,130.2712,293,49 m
9750737,VLADIMIR VORONIN,LNG Tanker,Bahamas,127000,97000,299,50,None,2018,,,,,Tanker (HAZ-D),RUSAB,"May 4, 06:30",9750737 / 311000632,C6DB8,299 / 50 m,11.0 m,100.8° / 15.4 kn,71.42441 N/32.18673 E,311000632,100.8°,15.4 kn,71.42441,32.18673,299,50 m
9750725,NIKOLAY YEVGENOV,LNG Tanker,Bahamas,127000,97000,299,50,None,2018,,,,,Tanker (HAZ-D),FRMTX,"May 5, 04:00",9750725 / 311000631,C6DB7,299 / 50 m,11.9 m,211.7° / 16.4 kn,59.13045 N/6.36241 W,311000631,211.7°,16.4 kn,59.13045,-6.36241,299,50 m
9750749,GEORGIY USHAKOV,LNG Tanker,Bahamas,127000,97000,299,50,,2018,,,,,Tanker,BEZEE  > RUSAB,"May 2, 03:00",9750749 / 311000633,C6DB9,299 / 50 m,10.9 m,63.1° / 14.6 kn,72.22386 N/27.33284 E,311000633,63.1°,14.6 kn,72.22386,27.33284,299,50 m
9750672,YAKOV GAKKEL,LNG Tanker,Bahamas,127000,97000,299,50,None,2019,,,,,Tanker,RUSAB,"May 2, 13:00",9750672 / 311000634,C6DC2,299 / 50 m,10.9 m,98.2° / 19.1 kn,71.19699 N/32.4411 E,311000634,98.2°,19.1 kn,71.19699,32.4411,299,50 m
9768394,BORIS DAVYDOV,LNG Tanker,Cyprus,127000,97000,299,50,None,2018,,,,,Tanker (HAZ-B),MONTOIR-FRANCE,"May 11, 06:00",9768394 / 209356000,5BBK5,299 / 50 m,12.0 m,97.7° / 14.9 kn,71.21235 N/32.4691 E,209356000,97.7°,14.9 kn,71.21235,32.4691,299,50 m
9750658,VLADIMIR VIZE,LNG Tanker,Hong Kong,127000,97000,299,50,None,2017,,,,,Tanker,RU SAB,"May 2, 10:00",9750658 / 477194200,VRRV5,299 / 50 m,10.7 m,89.0° / 15.8 kn,70.66299 N/33.11002 E,477194200,89.0°,15.8 kn,70.66299,33.11002,299,50 m
9768526,NIKOLAY ZUBOV,LNG Tanker,Cyprus,127000,97000,299,50,None,2018,,,,,Tanker (HAZ-D),ROTTERDAM,"Apr 30, 07:00",9768526 / 209351000,5BBL5,299 / 50 m,11.8 m,- / 0.0 kn,52.01383 N/3.51396 E,209351000,-,0.0 kn,52.01383,3.51396,299,50 m
9742807,CASTILLO DE MERIDA,LNG Tanker,Malta,126004,93241,287,49,None,2018,,,,,Tanker,ESALG,"May 5, 05:00",9742807 / 248516000,9HA4686,297 / 49 m,9.2 m,270.0° / 18.7 kn,36.27437 N/15.22961 E,248516000,270.0°,18.7 kn,36.27437,15.22961,297,49 m
9636967,AIDAPERLA,Passenger (Cruise) Ship,Italy,125572,9200,300,38,None,2017,,,,,Passenger ship,ESSCT,"May 4, 06:00",9636967 / 247385300,IBRL,300 / 48 m,8.2 m,82.0° / 10.7 kn,26.96011 N/22.2925 W,247385300,82.0°,10.7 kn,26.96011,-22.2925,300,48 m
9636955,AIDAPRIMA,Passenger (Cruise) Ship,Italy,125572,9200,300,38,None,2016,,,,,Passenger ship,AEDXB,"May 4, 15:30",9636955 / 247353800,IBGU,300 / 48 m,8.3 m,231.0° / 0.0 kn,25.27545 N/55.28372 E,247353800,231.0°,0.0 kn,25.27545,55.28372,300,48 m
9506459,CELEBRITY REFLECTION,Passenger (Cruise) Ship,Malta,125366,9500,319,37,None,2012,,,,,Passenger ship,GREAT BAHAMA ANCHOR,"Apr 30, 09:00",9506459 / 229074000,9HA3047,319 / 48 m,8.6 m,350.0° / 0.1 kn,25.7981 N/78.09103 W,229074000,350.0°,0.1 kn,25.7981,-78.09103,319,48 m
7349144,N'GOMA FPSO,Offshore Support Vessel,Bahamas,125027,256715,366,52,None,1974,,None,,,Tanker,"BLOCK 15 ANGOLA ,","Jul 24, 13:00",7349144 / 309776000,C6OO4,318 / 66 m,10.0 m,338.0° / 0.1 kn,6.13948 S/11.03386 E,309776000,338.0°,0.1 kn,-6.13948,11.03386,318,66 m
9621077,PACIFIC ARCADIA,LNG Tanker,Bahamas,123005,78311,288,49,None,2014,,,,,Tanker,KR BOR,"May 26, 00:01",9621077 / 311072200,C6ZY6,288 / 49 m,11.4 m,92.0° / 12.5 kn,25.33061 N/123.54468 E,311072200,92.0°,12.5 kn,25.33061,123.54468,288,49 m
9376294,CYGNUS PASSAGE,LNG Tanker,Bahamas,122444,79555,288,49,None,2009,,,,,Tanker (HAZ-A),RU PGN,"May 6, 20:00",9376294 / 309739000,C6WB7,288 / 49 m,9.4 m,208.0° / 0.1 kn,46.39703 N/142.78168 E,309739000,208.0°,0.1 kn,46.39703,142.78168,288,49 m
9343106,ALTO ACRUX,LNG Tanker,Bahamas,122361,80229,288,49,None,2008,,None,,,Tanker (HAZ-A),JP FOR ORDERS,"May 28, 21:00",9343106 / 308592000,C6WG2,288 / 49 m,11.1 m,182.0° / 2.4 kn,9.36295 N/126.6711 E,308592000,182.0°,2.4 kn,9.36295,126.6711,288,49 m
9831220,ADRIANO KNUTSEN,LNG Tanker,Spain,122261,96354,299,48,None,2019,,,,,Tanker,CORPUS CHRISTI,"May 10, 06:00",9831220 / 224983000,EBRY,299 / 48 m,9.5 m,257.0° / 14.9 kn,35.91917 N/9.61944 W,224983000,257.0°,14.9 kn,35.91917,-9.61944,299,48 m
9451094,CELEBRITY SILHOUETTE,Passenger (Cruise) Ship,Malta,122210,9500,315,37,None,2011,,,,,Passenger ship,MIAMI,"May 3, 10:00",9451094 / 248939000,9HA2583,319 / 48 m,8.8 m,173.0° / 2.4 kn,24.14075 N/79.30867 W,248939000,173.0°,2.4 kn,24.14075,-79.30867,319,48 m
9752565,ENERGY GLORY,LNG Tanker,Japan,122000,88500,300,49,None,2018,,,,,Tanker,CN JIANGSU,"May 10, 00:01",9752565 / 431776000,7JZD,300 / 49 m,11.7 m,290.0° / 18.7 kn,30.41348 N/132.18095 W,431776000,290.0°,18.7 kn,30.41348,-132.18095,300,49 m
9758844,ENERGY UNIVERSE,LNG Tanker,Panama,122000,88500,300,49,,2019,,,,,Tanker,ES SAG,"May 6, 06:00",9758844 / 354114000,3ETV9,300 / 49 m,11.6 m,268.2° / 14.5 kn,35.70687 N/15.93904 W,354114000,268.2°,14.5 kn,35.70687,-15.93904,300,49 m
9362530,CELEBRITY SOLSTICE,Passenger (Cruise) Ship,Malta,121878,9500,317,37,None,2008,,,,,Passenger ship,SINGAPORE OPL,"Apr 27, 23:00",9362530 / 249409000,9HRJ9,317 / 48 m,8.6 m,49.0° / 7.9 kn,9.82634 N/111.82177 E,249409000,49.0°,7.9 kn,9.82634,111.82177,317,48 m
9404314,CELEBRITY ECLIPSE,Passenger (Cruise) Ship,Malta,121878,9500,317,37,None,2010,,,,,Passenger ship,SAN DIEGO  USA,"May 3, 14:00",9404314 / 249666000,9HXC9,317 / 48 m,8.8 m,91.1° / 1.1 kn,32.73789 N/117.40911 W,249666000,91.1°,1.1 kn,32.73789,-117.40911,317,48 m
9372456,CELEBRITY EQUINOX,Passenger (Cruise) Ship,Malta,121878,9500,317,37,None,2009,,,,,Passenger ship,COCOCAY,"Apr 26, 13:00",9372456 / 249667000,9HXD9,317 / 48 m,9.0 m,155.0° / 0.1 kn,25.76904 N/78.12409 W,249667000,155.0°,0.1 kn,25.76904,-78.12409,317,48 m
9341689,LNG JUPITER,LNG Tanker,Bahamas,121675,81950,290,49,None,2009,,None,,,Tanker (HAZ-A),PG POM,"May 8, 20:00",9341689 / 311019200,C6XQ5,289 / 49 m,9.8 m,163.0° / 10.7 kn,33.37925 N/140.19412 E,311019200,163.0°,10.7 kn,33.37925,140.19412,289,49 m
9284192,ARCTIC LADY,LNG Tanker,Norway,121597,84878,288,49,None,2006,,,,,Tanker (HAZ-D),"SKAGEN, DK","May 4, 20:00",9284192 / 257742000,LAGF6,288 / 49 m,9.8 m,30.4° / 8.4 kn,52.44874 N/2.90949 E,257742000,30.4°,8.4 kn,52.44874,2.90949,288,49 m
9271248,ARCTIC PRINCESS,LNG Tanker,Norway,121597,84878,288,49,None,2006,,,,,Tanker,ESBCN,"May 6, 19:00",9271248 / 257739000,LAGE6,288 / 49 m,11.3 m,217.2° / 16.9 kn,67.53353 N/8.61069 E,257739000,217.2°,16.9 kn,67.53353,8.61069,288,49 m
9341299,LNG BARKA,LNG Tanker,Bahamas,121514,82308,290,49,None,2008,,None,,,Tanker,JP SBK,"May 7, 22:00",9341299 / 308579000,C6WO8,289 / 49 m,11.7 m,348.0° / 10.6 kn,4.259 N/126.37358 E,308579000,348.0°,10.6 kn,4.259,126.37358,289,49 m
