Port Authority:,Phone:,Fax:,800 Number:,Email:,Web Site:,Latitude:,Longitude:,UN/LOCODE:,Port Type:,Port Size:,Max Draft:,Address,Address Line 1,Address Line 2,Country,City
,,,,,,-32º -13' -59'' S,115º 46' 0'' E,,,, m,,,,Australia,
,,,,,,-41º -23' -4'' S,147º 6' 15'' E,,,, m,,,,Australia,
,,,,,,-41º -8' -4'' S,146º 54' 7'' E,,,, m,,,,Australia,
Ports Corporation of Queensland,,,,info@pcq.com.au,www.pcq.com.au,-18º -31' -59'' S,146º 19' 59'' E,,"Pier, Jetty or Wharf",Very Small, m,"['GPO Box 409', 'Brisbane, Queensland 4001', 'Australia']",GPO Box 409,"Brisbane, Queensland 4001",Australia,
Mackay Port Authority,61 7 4955 8155,61 7 4955 2868,,mpa@mackayports.com,www.mackayports.com,-21º -4' -59'' S,149º 13' 0'' E,,Harbor,Small, m,"['PO Box 3340', 'North Mackay, Queensland 4740', 'Australia']",PO Box 3340,"North Mackay, Queensland 4740",Australia,
,,,,,,-37º -17' -60'' S,143º 26' 60'' E,,,, m,,,,Australia,
Port of Melbourne Corporation,+61 3 9628 7555,+61 3 9628 7550,,information@portofmelbourne.com,www.portofmelbourne.com,-37º -50' -22'' S,144º 56' 39'' E,,Deepwater Seaport,Very Large, m,"['GPO Box 261', 'Melbourne, Victoria 3001', 'Australia']",GPO Box 261,"Melbourne, Victoria 3001",Australia,
Groote Eylandt Mining Co,61 08 8987 4444,61 08 8987 4499,,info@gemco.com.au,www.gemco.com.au,-13º -53' -55'' S,136º 27' 38'' E,,"Pier, Jetty or Wharf",Small, m,"['Rowell Highway', 'Alyangula, NT 0885', 'Australia']",Rowell Highway,"Alyangula, NT 0885",Australia,
Ports Corporation of Queensland,,,,info@pcq.com.au,www.pcq.com.au,-17º -36' -47'' S,146º 7' 55'' E,,Harbor,Very Small, m,"['GPO Box 409', 'Brisbane, Queensland 4001', 'Australia']",GPO Box 409,"Brisbane, Queensland 4001",Australia,
Newcastle Port Corporation,02 - 4985 8222,,1800 048 205,mail@newportcorp.com,www.newportcorp.com.au,-32º -56' 0'' S,151º 45' 0'' E,,Seaport,Medium, m,"['PO Box 663', 'Newcastle, NSW 2300', 'Australia']",PO Box 663,"Newcastle, NSW 2300",Australia,
,,,,,,-35º -44' -4'' S,137º 56' 40'' E,,,, m,,,,Australia,
,,,,,,-31º -57' -59'' S,115º 48' 59'' E,,,, m,,,,Australia,
Central Queensland Ports Authority,61 7 4934 6931,61 7 4934 6928,,,www.cqpa.com.au,-23º -34' -46'' S,150º 51' 30'' E,,"Pier, Jetty or Wharf",Very Small, m,"['Bajool-Port Alma Rd via BAJOOL', 'Port Alma, Queensland 4699', 'Australia']",Bajool-Port Alma Rd via BAJOOL,"Port Alma, Queensland 4699",Australia,
Santos Ltd,61 8 8116 5000,61 8 8116 5050,,,www.santos.com,-32º -57' -40'' S,137º 44' 40'' E,,"Pier, Jetty or Wharf",Small, m,"['60 Flinders Street', 'Adelaide, South Australia 5000', 'Australia']",60 Flinders Street,"Adelaide, South Australia 5000",Australia,
Flinders Ports Pty Ltd,+61 8 8447 0611,+61 8 8447 0606,,flindersports@flindersports.com.au,www.flindersports.com.au,-35º -1' -43'' S,137º 44' 40'' E,,"Pier, Jetty or Wharf",Very Small, m,"['296 St Vincent Street', 'Port Adelaide, South Australia 5015', 'Australia']",296 St Vincent Street,"Port Adelaide, South Australia 5015",Australia,
Port Hedland Port Authority,61 8 9173 0000,61 8 9173 0060,,phpa@phpa.com.au,www.phpa.com.au,-20º -19' -27'' S,118º 32' 32'' E,,Seaport,Small, m,"['PO Box 2', 'Port Hedland, WA 6721', 'Australia']",PO Box 2,"Port Hedland, WA 6721",Australia,
,,,,,,-43º -10' 0'' S,146º 58' 0'' E,,,, m,,,,Australia,
Port Kembla Port Corporation,61 2 4275 0100,61 2 4274 0643,,enquiries@kemblaport.com.au,www.kemblaport.com.au,-34º -28' -24'' S,150º 53' 50'' E,,Seaport,Medium, m,"['PO Box 89', 'Port Kembla, NSW 2505', 'Australia']",PO Box 89,"Port Kembla, NSW 2505",Australia,
Port of Portland Pty Ltd.,61 3 5525 0900,61 3 5521 7488,,info@portofportland.com.au,www.portofportland.com.au,-38º -20' -15'' S,141º 35' 21'' E,,Harbor,Small, m,"['Barton Place', 'P.O. Box 292', 'Portland, Victoria 3305', 'Australia']",P.O. Box 292,"Portland, Victoria 3305",Australia,
,,,,,,-40º -52' -14'' S,145º 22' 0'' E,,,, m,,,,Australia,
Flinders Ports Pty Ltd,+61 8 8447 0611,+61 8 8447 0606,,flindersports@flindersports.com.au,www.flindersports.com.au,-34º -43' -27'' S,135º 50' 21'' E,,"Pier, Jetty or Wharf",Very Small, m,"['296 St Vincent Street', 'Port Adelaide, South Australia 5015', 'Australia']",296 St Vincent Street,"Port Adelaide, South Australia 5015",Australia,
,,,,,,-33º -58' -56'' S,151º 13' 48'' E,,,, m,,,,Australia,
Flinders Ports Pty Ltd,+61 8 8447 0611,+61 8 8447 0606,,flindersports@flindersports.com.au,www.flindersports.com.au,-33º -8' -59'' S,138º 5' 2'' E,,Seaport,Small, m,"['296 St Vincent Street', 'Port Adelaide, South Australia 5015', 'Australia']",296 St Vincent Street,"Port Adelaide, South Australia 5015",Australia,
,,,,,,-35º -2' -18'' S,138º 32' 16'' E,,,, m,,,,Australia,
Port Authority of Port Walcott,61 8 9187 1329,61 8 9187 1601,,pilots@kisser.net.au,,-20º -37' 0'' S,117º 10' 59'' E,,"Pier, Jetty or Wharf",Small, m,"['Port Walcott Pilots', 'Wickham, WA 6720', 'Australia']",Port Walcott Pilots,"Wickham, WA 6720",Australia,
,,,,,,-21º -23' -60'' S,115º 2' 60'' E,,,, m,,,,Australia,
,,,,,,-42º -31' -32'' S,147º 56' 19'' E,,,, m,,,,Australia,
,,,,,,-20º -16' -59'' S,116º 15' 0'' E,,,, m,,,,Australia,
Tasmanian Ports Corporation Pty Ltd,1 300 366 742,03 6421 4988,,secretary@tasports.com.au,www.tasports.com.au,-40º -48' -44'' S,145º 11' 44'' E,,"Pier, Jetty or Wharf",Very Small, m,"['48 Formby Road', 'PO Box 478', 'Devonport, Tasmania 7310', 'Australia']",PO Box 478,"Devonport, Tasmania 7310",Australia,
Tasmanian Ports Corporation Pty Ltd,61 3 6421 4911,61 3 6421 4988,,secretary@tasports.com.au,www.tasports.com.au,-42º -8' -60'' S,145º 19' 59'' E,,Harbor,Small, m,"['48 Formby Road', 'PO Box 478', 'Devonport, Tasmania 7310', 'Australia']",PO Box 478,"Devonport, Tasmania 7310",Australia,
Sydney Ports Corporation,61 2 9296 4999,61 2 9296 4742,,,www.sydneyports.com.au,-33º -52' -10'' S,151º 10' 58'' E,,Deepwater Seaport,Large, m,"['PO Box 25 Millers Point', 'Sydney, NSW 2000', 'Australia']",PO Box 25 Millers Point,"Sydney, NSW 2000",Australia,
Flinders Ports Pty Ltd,+61 8 8447 0611,+61 8 8447 0606,,flindersports@flindersports.com.au,www.flindersports.com.au,-32º -9' -12'' S,133º 32' 1'' E,,"Pier, Jetty or Wharf",Very Small, m,"['296 St Vincent Street', 'Port Adelaide, South Australia 5015', 'Australia']",296 St Vincent Street,"Port Adelaide, South Australia 5015",Australia,
Ports Corporation of Queensland,,,,info@pcq.com.au,www.pcq.com.au,-10º -33' -32'' S,142º 11' 40'' E,,"Pier, Jetty or Wharf",Small, m,"['GPO Box 409', 'Brisbane, Queensland 4001', 'Australia']",GPO Box 409,"Brisbane, Queensland 4001",Australia,
,,,,,,-17º -29' -59'' S,146º 15' 0'' E,,,, m,,,,Australia,
Townsville Port Authority,61 7 4781 1500,617 4781 1525,,info@townsville-port.com.au,www.townsville-port.com.au,-19º -17' -36'' S,146º 50' 35'' E,,Harbor,Small, m,"['PO Box 1031', 'Townsville, Queensland 4810', 'Australia']",PO Box 1031,"Townsville, Queensland 4810",Australia,
,,,,,,-26º -7' -57'' S,113º 23' 59'' E,,,, m,,,,Australia,
,,,,,,-20º -38' 0'' S,115º 35' 59'' E,,,, m,,,,Australia,
Flinders Ports Pty Ltd,+61 8 8447 0611,+61 8 8447 0606,,flindersports@flindersports.com.au,www.flindersports.com.au,-33º -56' -32'' S,137º 38' 38'' E,,"Pier, Jetty or Wharf",Small, m,"['296 St Vincent Street', 'Port AdelaideSouth Australia 5015', 'Australia']",296 St Vincent Street,Port AdelaideSouth Australia 5015,Australia,
,,,,,,-20º -8' -60'' S,116º 25' 0'' E,,,, m,,,,Australia,
Ports Corporation of Queensland,,,,info@pcq.com.au,www.pcq.com.au,-12º -38' -42'' S,141º 52' 19'' E,,"Pier, Jetty or Wharf",Small, m,"['GPO Box 409', 'Brisbane, Queensland 4001', 'Australia']",GPO Box 409,"Brisbane, Queensland 4001",Australia,
,,,,,,-33º -1' 0'' S,137º 34' 59'' E,,,, m,,,,Australia,
,,,,,,-15º -27' -59'' S,128º 7' 19'' E,,,, m,,,,Australia,
NSW Maritime Authority,61 2 6646 2002,61 2 6646 1596,,pilot@yamba.nsw.gov.au,www.yamba.nsw.gov.au,-29º -21' -50'' S,153º 20' 21'' E,,Harbor,Small, m,"['Pilot Station', 'Pilot Street', 'Yamba, NSW 2464', 'Australia']",Pilot Street,"Yamba, NSW 2464",Australia,
,,,,,,48º 12' 49'' N,16º 21' 50'' E,,,, m,,,,Austria,
,,,,,,48º 10' 0'' N,14º 1' 59'' E,,,, m,,,,Austria,
Baku International Sea Trade Port,994 12 930268,994 12 933672,,office@bakuseaport.net,bakuseaport.az,40º 22' 53'' N,49º 53' 15'' E,,Seaport,Large, m,"['72 Uzeir Hajibeyov Street', 'Baku 370010', 'Azerbaijan']",72 Uzeir Hajibeyov Street,Baku 370010,Azerbaijan,
Freeport Container Port Limited,242 350-8000,242 351-8044,,,www.freeportcontainerport.com,26º 30' 31'' N,-78º -41' -56'' W,,Seaport,Medium, m,"['Container Port Road / Queens Highway', 'P.O. Box F-42465', 'Freeport, Grand Bahama Island', 'Bahamas']",P.O. Box F-42465,"Freeport, Grand Bahama Island",,
Nassau Port Authority,242 322 8832,242 322 5545,,portaja@batelnet.bs,,21º 31' 0'' N,-73º 0' 0'' W,,"Pier, Jetty or Wharf",Very Small, m,"['Inagua Islands', 'Bahamas']",,Inagua Islands,,
Nassau Port Authority,242-322-8832,242-322-5545,,portaja@batelnet.bs,,25º 4' 59'' N,-77º -19' -59'' W,,Seaport,Small, m,"['PO Box N-8175', 'Nassau', 'Bahamas']",,PO Box N-8175,,Nassau
,,,,,,25º 25' 0'' N,-79º -13' 0'' W,,"Pier, Jetty or Wharf",Very Small, m,"['Ocean Cay', 'Bahamas']",,Ocean Cay,,
South Riding Point Holding Ltd,242 353 4471,242 353 4573,,srphl@netscape.net,,26º 38' 39'' N,-78º -13' 0'' W,,"Pier, Jetty or Wharf",Very Small, m,"['PO Box F-42530', 'Freeport, Grand Bahama', 'Bahamas']",PO Box F-42530,"Freeport, Grand Bahama",,
,,,,,,26º 12' 19'' N,50º 37' 0'' E,,,, m,,,,Bahrain,
,,,,,,26º 0' 39'' N,50º 37' 32'' E,,,, m,,,,Bahrain,
Sitra Port Authority,973 1775 7744,973 1775 7747,,,www.bahrainports.gov.bh,26º 8' 28'' N,50º 37' 58'' E,,"Pier, Jetty or Wharf",Small, m,['Bahrain'],,,Bahrain,
,,,,,,22º 36' 0'' N,89º 30' 59'' E,,,, m,,,,Bangladesh,
Chittagong Port Authority (CPA),880-31- 2522200,880-31- 2510889,,secretary@cpa.gov.bd,www.cpa.gov.bd,22º 19' 51'' N,91º 50' 18'' E,,Seaport,Medium, m,"['Bandar Bhaban', 'P. O. Box 2013', 'Chittagong 4100', 'Bangladesh']",P. O. Box 2013,Chittagong 4100,Bangladesh,
,,,,,,23º 41' 15'' N,90º 26' 14'' E,,,, m,,,,Bangladesh,
Mongla Port Authority (MPA),04662-75200,04662-75224,,mpa@bttb.net.bd,www.monglaport.com.bd,22º 28' 2'' N,89º 34' 57'' E,,River Port,Small, m,"['Mongla, Bagerhat', 'Bangladesh']",,"Mongla, Bagerhat",Bangladesh,
Barbados Port Authority,(246) 430-4700,(246) 429-5348,,administrator@barbadosport.com,www.barbadosport.com,13º 4' 59'' N,-59º -36' 0'' W,,Harbor,Small, m,"['University Row', 'Princess Alice Highway', 'Bridgetown, West Indies', 'Barbados']",Princess Alice Highway,"Bridgetown, West Indies",Barbados,
,,,,,,52º 6' 12'' N,23º 41' 23'' E,,,, m,,,,Belarus,
Antwerp Port Authority,+32-3-205 20 11,+32-3-205 20 28,,info@haven.antwerpen.be,www.portofantwerp.be,51º 12' 8'' N,4º 22' 58'' E,,Seaport,Very Large, m,"['Havenhuis Entrepotkaai 1', 'Antwerp B-2000', 'Belgium']",Havenhuis Entrepotkaai 1,Antwerp B-2000,Belgium,
Port de Bruxelles,32 2 420.67.00,32 2 420.69.74,,ortdebruxelles@port.irisnet.be,www.portdebruxelles.irisnet.be,50º 52' 0'' N,4º 20' 60'' E,,River Port,Large, m,"['Place des Armateurs 6', 'Bruxelles 1000', 'Belgium']",Place des Armateurs 6,Bruxelles 1000,Belgium,
Ghent Port Company AMC,+32/9 251 05 50,+32/9 251 54 06,,info@havengent.be,www.havengent.be,51º 4' 49'' N,3º 44' 4'' E,,River Port,Large, m,"['J. Kennedylaan 32', 'Ghent B-9042', 'Belgium']",J. Kennedylaan 32,Ghent B-9042,Belgium,
,,,,,,51º 5' 24'' N,4º 12' 35'' E,,,, m,,,,Belgium,
Port Autonome de Liege,04/232.97.97,04/223.11.09,,portdeliege@skynet.be,www.liege.port-autonome.be,50º 40' 0'' N,5º 34' 0'' E,,River Port,Medium, m,"['Quai de Maestricht', 'Liege DIRECTION ET AD', 'Belgium']",Quai de Maestricht,Liege DIRECTION ET AD,Belgium,
,,,,,,51º 0' 0'' N,4º 10' 47'' E,,,, m,,,,Belgium,
Loodswezen,32 58 233 000,32 58 231 575,,,wwwe.loodswezen.nl,51º 8' 59'' N,2º 43' 6'' E,,Seaport,Medium, m,"['Havengeul 1', 'Nieuwpoort BE-8620', 'Belgium']",Havengeul 1,Nieuwpoort BE-8620,Belgium,
AG Haven Oostende,+32 (0)59 34.07.11,+32 (0)59 34.07.10,,info@portofoostende.be,www.portofoostende.be,51º 13' 33'' N,2º 54' 11'' E,,Seaport,Medium, m,"['Slijkensesteenweg 2', 'Oostende 8400', 'Belgium']",Slijkensesteenweg 2,Oostende 8400,Belgium,
Maatschappij van de Brugse Zeevaartinrichtingen N.V. (MBZ).,32 50 54 32 11,32 50 54 32 24,,mbz@zeebruggeport.be,www.zeebruggeport.be,51º 20' 13'' N,3º 13' 2'' E,,Seaport,Medium, m,"['P. Vandammehuis, Isabellalaan 1', 'Zeebrugge B-8380', 'Belgium']","P. Vandammehuis, Isabellalaan 1",Zeebrugge B-8380,Belgium,
,,,,,,17º 30' 13'' N,-88º -11' -24'' W,,,, m,,,,Belize,
Belize Ports Authority,501 227 2480,501 227 2500,,portbz@btl.net,,17º 29' 59'' N,-88º -12' 0'' W,,Harbor,Small, m,"['Caesar Ridge Road', 'Belize City', 'Belize']",,Caesar Ridge Road,Belize,Belize City
Ports Authority of Cotonou,229 315280,229 312891,,pac@leland.bj,www.otal.com/benin,6º 21' 0'' N,2º 25' 59'' E,,Seaport,Medium, m,"['Cotonou', 'Benin']",,,Benin,Cotonou
,,,,,,6º 15' 0'' N,2º 40' 0'' E,,,, m,,,,Benin,
Department of Marine and Port Services,441 295 6575,441 295 5523,,,,32º 19' 0'' N,-64º -49' -59'' W,,Harbor,Small, m,"['Freeport, Grand Bahama Island', 'Bermuda']",,"Freeport, Grand Bahama Island",Bermuda,
Department of Marine and Port Services,441 295 6575,441 295 3718,,,,32º 16' 59'' N,-64º -46' 0'' W,,Seaport,Medium, m,"['PO Box HM 180', 'Hamilton', 'Bermuda']",,PO Box HM 180,Bermuda,Hamilton
Department of Marine and Port Services,441 295 6575,441 295 3718,,,,32º 22' 0'' N,-64º -42' 0'' W,,Harbor,Small, m,"['PO Box HM 180', 'Hamilton', 'Bermuda']",,PO Box HM 180,Bermuda,Hamilton
,,,,,,-11º -6' -35'' S,-66º -8' -24'' W,,,, m,,,,Bolivia,
Terminal De Alumar,55 98 218 1392,55 98 218 1461,,,,-2º -41' -49'' S,-44º -22' -9'' W,,"Pier, Jetty or Wharf",Small, m,"['CP 135', 'Km 18 Pedrinhas', 'Sao Luis', 'Brazil']",CP 135,Km 18 Pedrinhas,Brazil,Sao Luis
Companhia Docas do Rio de Janeiro (CDRJ),55 24 2365 0273,55 24 2365 0273,,,www.portosrio.gov.br,-23º 0' 0'' S,-44º -19' 0'' W,,Harbor,Small, m,"['Avenida dos Reis Magos, s/n', 'Angra dos Reis, RJ 23900-000', 'Brazil']","Avenida dos Reis Magos, s/n","Angra dos Reis, RJ 23900-000",Brazil,
Administracao do Porto de Aracaju,55 79 224 6148,55 79 224 7591,,,www.ibritto.com.br,-10º -54' -30'' S,-37º -1' -31'' W,,"Pier, Jetty or Wharf",Small, m,"['Tr Baltazar Goes 86', 'Edif Cidade de Sergipe 8 Andar', 'Aracaju, SE 49009-900', 'Brazil']",Edif Cidade de Sergipe 8 Andar,"Aracaju, SE 49009-900",Brazil,
,,,,,,-4º -20' -23'' S,-37º -27' -35'' W,,,, m,,,,Brazil,
Companhia das Docas do Estado da Bahia (CODEBA),71 602-5711,71 602-5705,,portoaratu@codeba.com.br,www.codeba.com.br,-12º -47' -3'' S,-38º -30' 0'' W,,Seaport,Medium, m,"['Via Matoim, s/n', 'Baia de Aratu CEP 43.800-000', 'Brazil']","Via Matoim, s/n",Baia de Aratu CEP 43.800-000,Brazil,
,,,,,,-4º -34' -12'' S,-37º -4' -47'' W,,,, m,,,,Brazil,
,,,,,,-25º -25' -51'' S,-48º -42' -33'' W,,,, m,,,,Brazil,
Companhia Docas do Para - Autoridade Portuaria,91 3216-2129,91 3216-2130,,evandro@cdp.com.br,www.cdp.com.br,-1º -20' -2'' S,-48º -28' -8'' W,,"Pier, Jetty or Wharf",Medium, m,"['Endereco Av. Marechal Hermes s/n', 'Cais do Porto', 'Belem, Para CEP 66010-000', 'Brazil']",Cais do Porto,"Belem, Para CEP 66010-000",Brazil,
,,,,,,-6º -57' 0'' S,-34º -52' -57'' W,,,, m,,,,Brazil,
,,,,,,-11º -4' -17'' S,-37º -6' -55'' W,,,, m,,,,Brazil,
Hidrovias Do Paraguai,55 67 2312913,55 67 231 2661,,,www.ahipar.gov.br,-19º 0' 0'' S,-57º -37' 0'' W,,River Port,Small, m,"['Corumba', 'Brazil']",,,Brazil,Corumba
,,,,,,-12º -46' -43'' S,-38º -28' -22'' W,,,, m,,,,Brazil,
Administracao do Porto de Forno,24 622-1185,24 622-1185,,portodoforno@mar.com.br,,-22º -57' -5'' S,-42º -3' -27'' W,,"Pier, Jetty or Wharf",Small, m,"['Rua Santa Cruz, 100', 'Arraial do Cabo, RJ 28930-000', 'Brazil']","Rua Santa Cruz, 100","Arraial do Cabo, RJ 28930-000",Brazil,
,,,,,,-3º -43' -51'' S,-38º -36' -51'' W,,,, m,,,,Brazil,
Terminal Petroleiro Gebig,55 24 2361 2255,55 24 2361 2255,,,,-23º -1' -29'' S,-44º -11' -21'' W,,"Pier, Jetty or Wharf",Small, m,"['Pier de Gebig', 'Rodovia Rio Santos Km 81, Jacuacanga', 'Angra dos Reis, RJ', 'Brazil']","Rodovia Rio Santos Km 81, Jacuacanga","Angra dos Reis, RJ",Brazil,
,,,,,,-5º -6' -16'' S,-36º -21' -29'' W,,,, m,,,,Brazil,
Companhia das Docas do Estado da Bahia (CODEBA),73 231-1200,73 231-3318,,portoilheus@codeba.com.br,www.codeba.com.br,-14º -47' -21'' S,-39º -2' -54'' W,,Harbor,Small, m,"['Rua Rotary, s/n', 'Cidade Nova', 'Ilheus, Bahia CEP 45.650-000', 'Brazil']",Cidade Nova,"Ilheus, Bahia CEP 45.650-000",Brazil,
Companhia Docas de Imbituba,48 3255-0080,48 255 0701,,,www.cdiport.com.br,-28º -14' -8'' S,-48º -39' -31'' W,,Harbor,Small, m,"['Av. Presidente Vargas, 100', 'Imbituba, Santa Catarina', 'Brazil']","Av. Presidente Vargas, 100","Imbituba, Santa Catarina",Brazil,
,55 47 341 8000,55 47 341 8075,,atendimento@portoitajai.com.br,www.portoitajai.com.br,-26º -53' -60'' S,-48º -38' -60'' W,,Seaport,Medium, m,"['Rua Blumenau, 05', 'Itajai, Santa Catarina CEP 88.305-101', 'Brazil']","Rua Blumenau, 05","Itajai, Santa Catarina CEP 88.305-101",Brazil,
Empresa Maranhense de Administracao Portuaria (EMAP),98 3216-6000,98 3216-6060,,,,-2º -34' -10'' S,-44º -20' -31'' W,,Seaport,Medium, m,"['Av. dos Portugueses s/n', 'Itaqui, Sao Luis CEP: 65085-370', 'Brazil']",Av. dos Portugueses s/n,"Itaqui, Sao Luis CEP: 65085-370",Brazil,
,,,,,,-7º -4' -12'' S,-34º -31' -12'' W,,,, m,,,,Brazil,
,,,,,,-28º -19' -55'' S,-48º -50' -22'' W,,,, m,,,,Brazil,
,,,,,,0º 4' 39'' N,-51º -2' -10'' W,,,, m,,,,Brazil,
Administracao do Porto de Maceio,55 82 231 1999,55 82 231 2975,,domiciojose@portodemaceio.com.br,www.portodemaceio.com.br,-9º -40' -50'' S,-35º -47' -17'' W,,Seaport,Small, m,"['Rua Fa e Albuquerque', 'Bairro Jaragua', 'Maceio, AL 57025-180', 'Brazil']",Bairro Jaragua,"Maceio, AL 57025-180",Brazil,
Port of Manaus,55 92 2123 4350,55 92 2123 4360,,alecom@portodemanaus.com.br,www.portodemanaus.com.br,-3º -8' -38'' S,-60º 0' -30'' W,,River Port,Medium, m,"['Rua Marques de Santa Cruz, no25 - Centro', 'Manaus, AM 69005 050', 'Brazil']","Rua Marques de Santa Cruz, no25 - Centro","Manaus, AM 69005 050",Brazil,
Administracao do Porto de Munguba,55 91 736 6132,55 91 736 1140,,,,0º -55' 0'' S,-52º -25' 0'' W,,River Port,Small, m,"['Vila Munguba s/n', 'Monte Dourado', 'Almeirim, PA 68240-000', 'Brazil']",Monte Dourado,"Almeirim, PA 68240-000",Brazil,
Companhia Docas do Rio Grande do Norte - CODERN,84 4005 5311,,,administrativo@codern.com.br,www.codern.com.br,-5º -46' 0'' S,-35º -12' 0'' W,,Harbor,Small, m,"['Av. Eng Hildebrando de Gois, 220 - Ribeira', 'Natal, RN', 'Brazil']","Av. Eng Hildebrando de Gois, 220 - Ribeira","Natal, RN",Brazil,
,,,,,,-30º 0' -6'' S,-51º -12' -24'' W,,,, m,,,,Brazil,
,55 21 2718 3182,55 21 2620 7563,,,www.portosrio.gov.br,-22º -52' -59'' S,-43º -7' 0'' W,,Seaport,Large, m,"['Avenida Feliciano Sodre, n 215', 'Niteroi, RJ CEP 24012-030', 'Brazil']","Avenida Feliciano Sodre, n 215","Niteroi, RJ CEP 24012-030",Brazil,
Companhia Docas do Para - Autoridade Portuaria,91 547-1253,,,,www.cdp.com.br,-1º -53' -28'' S,-55º -31' 0'' W,,River Port,Small, m,"['Endereco Endereco Rua Siqueira Campos S/N Centro', 'Obidos, Para', 'Brazil']",Endereco Endereco Rua Siqueira Campos S/N Centro,"Obidos, Para",Brazil,
Administracao dos Portos de Paranagua e Antonina,55 14 1420 1100,55 14 1422 5324,,portos@pr.gov.br,www.portosdoparana.pr.gov.br,-25º -33' -14'' S,-48º -30' -26'' W,,Seaport,Medium, m,"['Rua Antonio Pereira, 161', 'Paranagua, PR 83221-030', 'Brazil']","Rua Antonio Pereira, 161","Paranagua, PR 83221-030",Brazil,
Companhia de Integracao Portuaria do Ceara - CEARAPORTOS,85 3315-1977,85 3315-1974,,cearaportos@cearaportos.ce.gov.br,www.cearaportos.ce.gov.br,-3º -34' -17'' S,-38º -50' -42'' W,,"Pier, Jetty or Wharf",Small, m,"['Esplanada do Pecem, s/n - Distrito do Pecem', ' Sao Goncalo do Amarante, Ceara 62.674 - 000', 'Brazil']","Esplanada do Pecem, s/n - Distrito do Pecem"," Sao Goncalo do Amarante, Ceara 62.674 - 000",Brazil,
Administracao do Porto de Pelotas,55 53 3222 1125,55 53 3222 1815,,,,-31º -46' -59'' S,-52º -19' 0'' W,,Ferry,Small, m,"['Divisao Porto de Pelotas', 'Rua Conde de Porto Alegre 1', 'Pelotas, RS 96010-290', 'Brazil']",Rua Conde de Porto Alegre 1,"Pelotas, RS 96010-290",Brazil,
Administracao do Porto de Ponta Ubu,55 27 3361 9000,55 27 3361 9474,,portodeubu@samarco.com.br,www.portodeubu.com.br,-20º -46' -59'' S,-40º -34' -59'' W,,"Pier, Jetty or Wharf",Small, m,"['Rodovia do Sol s/n', 'Anchieta, ES 29230-000', 'Brazil']",Rodovia do Sol s/n,"Anchieta, ES 29230-000",Brazil,
,,,,,,-2º -47' -60'' S,-50º -30' 0'' W,,,, m,,,,Brazil,
Administracao do Porto de Porto Alegre,55 51 3211 5022,55 51 3211 5033,,,,-30º -3' -7'' S,-51º -13' -52'' W,,Seaport,Medium, m,"['Av Maua 1050 Centro', 'Porto Alegre, RS 90010-110', 'Brazil']",Av Maua 1050 Centro,"Porto Alegre, RS 90010-110",Brazil,
Portocel Terminal Especializa de Barra do Riacho SA,55 27 3270 4432,55 27 3270 4433,,mlm@aracruz.com.br,,-19º -50' -50'' S,-40º -3' -49'' W,,Seaport,Small, m,"['Companhia Docas do Espiritio', 'Av Getulio Vargas, 556', 'Vitoria, ES 29197-000', 'Brazil']","Av Getulio Vargas, 556","Vitoria, ES 29197-000",Brazil,
,,,,,,-4º -56' -59'' S,-37º -9' -59'' W,,,, m,,,,Brazil,
Administracao do Porto de Praia Mole,55 27 3328 0055,55 27 3228 2330,,,,-20º -16' -4'' S,-40º -17' -13'' W,,Seaport,Medium, m,"['c/o CIA Siderurgica de Tubarao', 'Av Brig Eduardo Gomes s/n', 'Carapina - Serra, ES 29164-280', 'Brazil']",Av Brig Eduardo Gomes s/n,"Carapina - Serra, ES 29164-280",Brazil,
,,,,,,-8º -2' -1'' S,-34º -52' -29'' W,,,, m,,,,Brazil,
,,,,,,-19º -38' -58'' S,-39º -50' -54'' W,,,, m,,,,Brazil,
Companhia Docas do Rio de Janeiro (CDRJ),2219-9542,,,suprio@portosrio.gov.br,www.portosrio.gov.br,-22º -53' -60'' S,-43º -12' 0'' W,,Seaport,Medium, m,"['Avenida Rodrigues Alves, n 20', 'Praca Maua', 'Rio de Janeiro, RJ CEP 20081-250', 'Brazil']",Praca Maua,"Rio de Janeiro, RJ CEP 20081-250",Brazil,
Superintendencia do Porto de Rio Grande,53 3231-1366,53 3231-1857,,,www.portoriogrande.com.br,-32º -2' -48'' S,-52º -5' -10'' W,,Seaport,Medium, m,"['hondrio Bicalho Ave, W/N', 'Mailbox 198', 'Rio Grande, RS 96201-020', 'Brazil']",Mailbox 198,"Rio Grande, RS 96201-020",Brazil,
Companhia das Docas do Estado da Bahia (CODEBA),71 320-1299,71 320-1268,,portosalvador@codeba.com.br,www.codeba.com.br,-12º -58' -16'' S,-38º -30' -5'' W,,Harbor,Medium, m,"['Av. da Franca, 155 I, Comercio', 'Salvador, Bahia CEP 40.010-000', 'Brazil']","Av. da Franca, 155 I, Comercio","Salvador, Bahia CEP 40.010-000",Brazil,
,,,,,,-29º -56' -59'' S,-51º -21' -10'' W,,,, m,,,,Brazil,
Macapa (Santana) Port Authority,55 96 281 1092,,,,,0º -3' -23'' S,-51º -9' -50'' W,,"Pier, Jetty or Wharf",Small, m,"['Companhia Docos do Para (CDP)', 'Rua Senador Felinto, Rua Senador Felinto', 'Santana, AP', 'Brazil']","Rua Senador Felinto, Rua Senador Felinto","Santana, AP",Brazil,
